	dataset	diversity	num_taxa	rank	sample	taxa	transporter	substrate_category	type	name	abbreviation
14	mg	-0.0	1	order	120709	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mg	-0.0	1	order	120717	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mg	0.4684423484719588	2	order	120802	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mg	0.8056287735791732	2	order	120806	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mg	-0.0	1	order	120813	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mg	-0.0	1	order	120820	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mg	-1.0	0	order	120823	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mg	-1.0	0	order	120828	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mg	-1.0	0	order	120903	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mg	-0.0	1	order	120920	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mg	-0.0	1	order	120924	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
25	mg	-1.0	0	order	121001	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
26	mg	-1.0	0	order	121004	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
27	mg	-1.0	0	order	121015	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
28	mg	-1.0	0	order	121022	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
29	mg	-0.0	1	order	121028	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
30	mg	-1.0	0	order	121105	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
31	mg	0.9995292727542785	2	order	121128	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
32	mg	-0.0	1	order	121220	Cyanobacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mt	2.408771939340238	7	order	120516	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mt	2.5667883982922426	8	order	120613	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mt	2.4055196880315997	8	order	120712	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mt	1.0886262782129557	7	order	120813	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mt	2.370439998673585	11	order	120927	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mt	1.7221897933547903	11	order	121024	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mt	2.1289777154708567	8	order	121220	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mt	1.97415239870715	10	order	130123	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mt	2.408366485799025	10	order	130226	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mt	1.9714491489422965	6	order	130403	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mt	1.5734750363635166	4	order	130416	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mt	1.439503960094995	5	order	130422	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mt	1.0632483245889652	3	order	130507	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mt	1.8258540414280178	5	order	130605	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
14	mt	2.438474725454781	10	order	130705	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mt	2.461884863055062	6	order	130815	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mt	1.2246738366586618	4	order	130905	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mt	2.124442803025586	6	order	131003	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mt	1.3083394332676377	3	order	140408	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mt	-0.0	1	order	140506	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mt	2.037098107973357	6	order	140604	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mt	2.0189657743030707	7	order	140709	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mt	2.0988396805336516	8	order	140820	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mt	2.067815100466407	8	order	140916	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mt	1.8743719021900986	7	order	141013	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mt	2.408771939340238	7	order	120516	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mt	2.4559238283890625	7	order	120613	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mt	2.1492501188593693	7	order	120712	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mt	1.842160182820362	6	order	120813	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mt	2.370439998673585	11	order	120927	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mt	1.6359736095495632	10	order	121024	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mt	2.1289777154708567	8	order	121220	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mt	1.9319099473210686	9	order	130123	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mt	2.408366485799025	10	order	130226	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mt	1.9714491489422965	6	order	130403	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mt	1.5734750363635166	4	order	130416	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mt	1.439503960094995	5	order	130422	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mt	1.0632483245889652	3	order	130507	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mt	1.8258540414280178	5	order	130605	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
14	mt	2.3920171249491813	9	order	130705	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mt	2.1738082500563873	5	order	130815	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mt	1.2246738366586618	4	order	130905	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mt	2.124442803025586	6	order	131003	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mt	1.3083394332676377	3	order	140408	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
